category,type,item,gender,style,occasion,weather,body_type,skin_tone,fit,color_family,description
Top,top,White Oversized Graphic Tee,Female,Casual,College,Sunny,All,All,Oversized,Neutral,Classic white oversized tee with subtle graphic print
Top,top,Black Crop Top,Female,Trendy,Party,Sunny,Hourglass,All,Slim,Dark,Fitted crop top in matte black
Top,top,Lavender Linen Shirt,Female,Casual,Casual Outing,Sunny,All,Fair,Regular,Pastel,Breathable linen shirt in soft lavender
Top,top,Beige Ribbed Tank,Female,Casual,College,Sunny,Hourglass,Wheatish,Slim,Neutral,Fitted ribbed tank in warm beige
Top,top,Sage Green Hoodie,Female,Casual,College,Winter,All,All,Oversized,Earthy,Cozy sage green pullover hoodie
Top,top,White Polo Shirt,Female,Smart Casual,Office,Sunny,All,All,Regular,Neutral,Clean white polo with subtle collar
Top,top,Striped Oversized Shirt,Female,Casual,College,Sunny,Pear,All,Oversized,Multi,Black and white horizontal stripe shirt
Top,top,Rust Orange Crop Sweater,Female,Trendy,Date,Winter,Hourglass,Wheatish,Slim,Warm,Cropped knit sweater in rust orange
Top,top,Denim Shirt,Female,Casual,Casual Outing,Sunny,All,All,Regular,Blue,Classic denim button-down shirt
Top,top,Pink Floral Blouse,Female,Feminine,Date,Sunny,Pear,Fair,Regular,Pink,Flowy blouse with floral print
Top,top,White Corset Top,Female,Trendy,Party,Sunny,Hourglass,All,Slim,Neutral,Structured corset-style top in white
Top,top,Brown Knit Sweater,Female,Casual,College,Winter,All,Wheatish,Regular,Earthy,Warm brown knit pullover sweater
Top,top,Black Blazer,Female,Smart Casual,Interview,Sunny,All,All,Regular,Dark,Tailored black blazer for polished looks
Top,top,White Linen Shirt,Female,Minimal,Office,Sunny,All,All,Regular,Neutral,Breathable white linen button-up shirt
Top,top,Electric Blue Tube Top,Female,Trendy,Party,Sunny,Hourglass,All,Slim,Cool,Strapless electric blue tube top
Top,top,Cream Oversized Sweatshirt,Female,Casual,College,Winter,All,All,Oversized,Neutral,Cozy cream fleece sweatshirt
Top,top,Yellow Crop Tee,Female,Casual,Vacation,Sunny,All,Dark,Slim,Warm,Bright yellow short crop tee
Top,top,Olive Green Cargo Shirt,Female,Streetwear,College,Sunny,All,All,Oversized,Earthy,Utility cargo shirt in olive green
Top,top,Pink Satin Cami,Female,Feminine,Date,Sunny,Hourglass,Fair,Slim,Pink,Silky pink camisole top
Top,top,Grey Graphic Oversized Tee,Female,Casual,College,Sunny,All,All,Oversized,Neutral,Grey tee with vintage graphic print
Top,top,Navy Blue Crop Hoodie,Female,Casual,Gym,Winter,All,All,Regular,Cool,Navy blue cropped zip hoodie
Top,top,White Lace Top,Female,Feminine,Party,Sunny,Hourglass,Fair,Slim,Neutral,Delicate white lace overlay top
Top,top,Black Turtleneck,Female,Minimal,Office,Winter,All,All,Slim,Dark,Classic black ribbed turtleneck
Top,top,Red Wrap Top,Female,Feminine,Date,Sunny,Hourglass,Wheatish,Regular,Warm,Flattering red wrap-style blouse
Top,top,White Button-Down Shirt,Male,Smart Casual,Interview,Sunny,All,All,Regular,Neutral,Classic white formal button-down
Top,top,Black Graphic Tee,Male,Casual,College,Sunny,All,All,Regular,Dark,Black tee with minimalist graphic
Top,top,Navy Blue Polo,Male,Smart Casual,Office,Sunny,All,All,Regular,Cool,Classic navy polo shirt
Top,top,Grey Oversized Hoodie,Male,Casual,College,Winter,All,All,Oversized,Neutral,Comfortable grey pullover hoodie
Top,top,White Linen Shirt,Male,Casual,Vacation,Sunny,All,All,Regular,Neutral,Relaxed white linen shirt
